# Pinned fixed-token inventory from stanc3 v2.39.0 src/frontend/lexer.mll.
directive	#include
keyword	functions
keyword	data
keyword	transformed data
keyword	parameters
keyword	transformed parameters
keyword	model
keyword	generated quantities
keyword	return
keyword	if
keyword	else
keyword	while
keyword	profile
keyword	for
keyword	in
keyword	break
keyword	continue
keyword	void
keyword	int
keyword	real
keyword	complex
keyword	vector
keyword	row_vector
keyword	complex_vector
keyword	complex_row_vector
keyword	tuple
keyword	array
keyword	matrix
keyword	complex_matrix
keyword	ordered
keyword	positive_ordered
keyword	simplex
keyword	unit_vector
keyword	sum_to_zero_vector
keyword	sum_to_zero_matrix
keyword	cholesky_factor_corr
keyword	cholesky_factor_cov
keyword	corr_matrix
keyword	cov_matrix
keyword	column_stochastic_matrix
keyword	row_stochastic_matrix
keyword	lower
keyword	upper
keyword	offset
keyword	multiplier
keyword	jacobian
keyword	print
keyword	reject
keyword	fatal_error
keyword	target
keyword	T
symbol	{
symbol	}
symbol	(
symbol	)
symbol	[
symbol	]
symbol	<
symbol	>
symbol	,
symbol	;
symbol	|
symbol	?
symbol	:
symbol	!
symbol	-
symbol	+
symbol	^
symbol	'
symbol	*
symbol	/
symbol	%
symbol	%/%
symbol	\
symbol	.*
symbol	.^
symbol	./
symbol	||
symbol	&&
symbol	==
symbol	!=
symbol	<=
symbol	>=
symbol	~
symbol	=
symbol	+=
symbol	-=
symbol	*=
symbol	/=
symbol	.*=
symbol	./=

