# name	display signature	return type
reduce_sum	reduce_sum(F f, array[] T x, int grainsize, T1 shared...) => real	real
reduce_sum_static	reduce_sum_static(F f, array[] T x, int grainsize, T1 shared...) => real	real
ode_adams	ode_adams(F f, vector y0, real t0, array[] real ts, T1 args...) => array[] vector	array[] vector
ode_adams_tol	ode_adams_tol(F f, vector y0, real t0, array[] real ts, data real rtol, data real atol, data int max_steps, T1 args...) => array[] vector	array[] vector
ode_bdf	ode_bdf(F f, vector y0, real t0, array[] real ts, T1 args...) => array[] vector	array[] vector
ode_bdf_tol	ode_bdf_tol(F f, vector y0, real t0, array[] real ts, data real rtol, data real atol, data int max_steps, T1 args...) => array[] vector	array[] vector
ode_ckrk	ode_ckrk(F f, vector y0, real t0, array[] real ts, T1 args...) => array[] vector	array[] vector
ode_ckrk_tol	ode_ckrk_tol(F f, vector y0, real t0, array[] real ts, data real rtol, data real atol, data int max_steps, T1 args...) => array[] vector	array[] vector
ode_rk45	ode_rk45(F f, vector y0, real t0, array[] real ts, T1 args...) => array[] vector	array[] vector
ode_rk45_tol	ode_rk45_tol(F f, vector y0, real t0, array[] real ts, data real rtol, data real atol, data int max_steps, T1 args...) => array[] vector	array[] vector
dae	dae(F residual, vector yy0, vector yp0, real t0, array[] real ts, T1 args...) => array[] vector	array[] vector
dae_tol	dae_tol(F residual, vector yy0, vector yp0, real t0, array[] real ts, data real rtol, data real atol, data int max_steps, T1 args...) => array[] vector	array[] vector
solve_newton	solve_newton(F f, vector y_guess, T1 args...) => vector	vector
solve_newton_tol	solve_newton_tol(F f, vector y_guess, data real scaling_step, data real f_tol, data int max_steps, T1 args...) => vector	vector
solve_powell	solve_powell(F f, vector y_guess, T1 args...) => vector	vector
solve_powell_tol	solve_powell_tol(F f, vector y_guess, data real rel_tol, data real f_tol, data int max_steps, T1 args...) => vector	vector
laplace_marginal	laplace_marginal(F log_likelihood, F covariance, tuple data, tuple hyperparameters...) => real	real
laplace_marginal_tol	laplace_marginal_tol(F log_likelihood, F covariance, tuple data, data real tolerance, tuple hyperparameters...) => real	real
laplace_latent_rng	laplace_latent_rng(F log_likelihood, F covariance, tuple data, tuple hyperparameters...) => vector	vector
laplace_latent_tol_rng	laplace_latent_tol_rng(F log_likelihood, F covariance, tuple data, data real tolerance, tuple hyperparameters...) => vector	vector
laplace_marginal_poisson_log_lpmf	laplace_marginal_poisson_log_lpmf(array[] int y | array[] int y_index, vector m, data int hessian_block_size, F covariance, tuple covariance_arguments) => real	real
laplace_marginal_poisson_log_lupmf	laplace_marginal_poisson_log_lupmf(array[] int y | array[] int y_index, vector m, data int hessian_block_size, F covariance, tuple covariance_arguments) => real	real
laplace_marginal_tol_poisson_log_lpmf	laplace_marginal_tol_poisson_log_lpmf(array[] int y | array[] int y_index, vector m, data int hessian_block_size, F covariance, tuple covariance_arguments, tuple tolerances) => real	real
laplace_marginal_tol_poisson_log_lupmf	laplace_marginal_tol_poisson_log_lupmf(array[] int y | array[] int y_index, vector m, data int hessian_block_size, F covariance, tuple covariance_arguments, tuple tolerances) => real	real
laplace_latent_poisson_log_rng	laplace_latent_poisson_log_rng(array[] int y, array[] int y_index, vector m, data int hessian_block_size, F covariance, tuple covariance_arguments) => vector	vector
laplace_latent_tol_poisson_log_rng	laplace_latent_tol_poisson_log_rng(array[] int y, array[] int y_index, vector m, data int hessian_block_size, F covariance, tuple covariance_arguments, tuple tolerances) => vector	vector
laplace_marginal_neg_binomial_2_log_lpmf	laplace_marginal_neg_binomial_2_log_lpmf(array[] int y | array[] int y_index, real eta, vector m, data int hessian_block_size, F covariance, tuple covariance_arguments) => real	real
laplace_marginal_neg_binomial_2_log_lupmf	laplace_marginal_neg_binomial_2_log_lupmf(array[] int y | array[] int y_index, real eta, vector m, data int hessian_block_size, F covariance, tuple covariance_arguments) => real	real
laplace_marginal_tol_neg_binomial_2_log_lpmf	laplace_marginal_tol_neg_binomial_2_log_lpmf(array[] int y | array[] int y_index, real eta, vector m, data int hessian_block_size, F covariance, tuple covariance_arguments, tuple tolerances) => real	real
laplace_marginal_tol_neg_binomial_2_log_lupmf	laplace_marginal_tol_neg_binomial_2_log_lupmf(array[] int y | array[] int y_index, real eta, vector m, data int hessian_block_size, F covariance, tuple covariance_arguments, tuple tolerances) => real	real
laplace_latent_neg_binomial_2_log_rng	laplace_latent_neg_binomial_2_log_rng(array[] int y, array[] int y_index, real eta, vector m, data int hessian_block_size, F covariance, tuple covariance_arguments) => vector	vector
laplace_latent_tol_neg_binomial_2_log_rng	laplace_latent_tol_neg_binomial_2_log_rng(array[] int y, array[] int y_index, real eta, vector m, data int hessian_block_size, F covariance, tuple covariance_arguments, tuple tolerances) => vector	vector
laplace_marginal_bernoulli_logit_lpmf	laplace_marginal_bernoulli_logit_lpmf(array[] int y | array[] int y_index, vector m, data int hessian_block_size, F covariance, tuple covariance_arguments) => real	real
laplace_marginal_bernoulli_logit_lupmf	laplace_marginal_bernoulli_logit_lupmf(array[] int y | array[] int y_index, vector m, data int hessian_block_size, F covariance, tuple covariance_arguments) => real	real
laplace_marginal_tol_bernoulli_logit_lpmf	laplace_marginal_tol_bernoulli_logit_lpmf(array[] int y | array[] int y_index, vector m, data int hessian_block_size, F covariance, tuple covariance_arguments, tuple tolerances) => real	real
laplace_marginal_tol_bernoulli_logit_lupmf	laplace_marginal_tol_bernoulli_logit_lupmf(array[] int y | array[] int y_index, vector m, data int hessian_block_size, F covariance, tuple covariance_arguments, tuple tolerances) => real	real
